,title,author,isbn,pages,publication_year,rating,reviews_count,price,currency,age_restriction,genres,publisher,formats,url,price_numeric,rating_numeric,pages_numeric,reviews_numeric
0,По осколкам твоего сердца,Анна Джейн,,500.0,2025.0,4.9,3530.0,229.0,RUB,16+,"Литрес Авторы, От ненависти до любви, Первая любовь, Сильная героиня, Современные любовные романы",Правообладатель: Автор,"epub,, fb2,, fb3,, ios.epub,, mobi,, pdf,, txt,, zip",https://www.litres.ru/book/anna-dzheyn/po-oskolkam-tvoego-serdca-72271483/,229.0,4.9,500.0,3530.0
1,Твое сердце будет разбито,Анна Джейн,,510.0,2022.0,4.8,7228.0,199.0,RUB,16+,"Литрес Авторы, Любовь и ненависть, Молодежные романы, Настоящая любовь, Первая любовь, Современные любовные романы",Правообладатель: Автор,"epub,, fb2,, fb3,, ios.epub,, mobi,, pdf,, txt,, zip",https://www.litres.ru/book/anna-dzheyn/tvoe-serdce-budet-razbito-68306975/,199.0,4.8,510.0,7228.0
2,Фейерверк на ладони,Ольга Назарова,,430.0,2026.0,4.9,139.0,189.0,RUB,16+,"Антистресс, Ироничная проза, Книги для души, Книги о животных, Литрес Авторы, Семейное чтение, Современная русская литература, Юмористическая проза",Правообладатель: Автор,"epub,, fb2,, fb3,, ios.epub,, mobi,, pdf,, txt,, zip",https://www.litres.ru/book/olga-stanislavovna-nazarova/feyerverk-na-ladoni-73744191/,189.0,4.9,430.0,139.0
3,Проект «Аве Мария»,Энди Вейер,,21.0,2021.0,4.8,2117.0,529.0,RUB,16+,"Авантюрные приключения, Близкое будущее, Зарубежная фантастика, Зарубежные боевики, Колонизация планет, Космическая фантастика, Миры будущего, Становление героя, Фантастический боевик",Правообладатель: Аудио-ЛАУ,"m4b,, mp3,, zip",https://www.litres.ru/audiobook/endi-veyer/proekt-ave-mariya-67742516/,529.0,4.8,21.0,2117.0
4,По осколкам твоего сердца,Анна Джейн,,14.0,2022.0,4.8,921.0,749.0,RUB,16+,"Young adult, Книги о подростках, Любовь и ненависть, Молодежные романы, Настоящая любовь, Первая любовь, Современные любовные романы",Правообладатель: Издательство CLEVER,"m4b,, mp3,, zip",https://www.litres.ru/audiobook/anna-dzheyn/po-oskolkam-tvoego-serdca-69709285/,749.0,4.8,14.0,921.0
5,Проект «Аве Мария»,Энди Вейер,978-5-17-136008-5,530.0,2021.0,4.8,2866.0,449.0,RUB,16+,"Авантюрные приключения, Близкое будущее, Зарубежная фантастика, Зарубежные боевики, Колонизация планет, Космическая фантастика, Миры будущего, Становление героя, Фантастический боевик",Правообладатель: Издательство АСТ,"epub,, fb2,, fb3,, ios.epub,, mobi,, pdf,, txt,, zip",https://www.litres.ru/book/endi-veyer/proekt-ave-mariya-66986536/,449.0,4.8,530.0,2866.0
6,Лисья тень,Татьяна Корсакова,,340.0,2026.0,4.9,469.0,199.0,RUB,16+,"Загадки прошлого, Мистика, Мистические детективы, Оборотни, Поиск сокровищ, Приключенческие детективы, Семейная реликвия, Семейные тайны, Темные тайны, Только на Литрес, Триллеры",Правообладатель: Автор,"epub,, fb2,, fb3,, ios.epub,, mobi,, pdf,, txt,, zip",https://www.litres.ru/book/tatyana-korsakova/lisya-ten-73473073/,199.0,4.9,340.0,469.0
7,Твое сердце будет разбито,Анна Джейн,,14.0,2022.0,4.8,503.0,749.0,RUB,16+,"Young adult, Литрес Авторы, Любовь и ненависть, Молодежные романы, Настоящая любовь, Первая любовь, Современные любовные романы",Правообладатель: Издательство CLEVER,"m4b,, mp3,, zip",https://www.litres.ru/audiobook/anna-dzheyn/tvoe-serdce-budet-razbito-69401332/,749.0,4.8,14.0,503.0
8,Афродита,Дария Эссес,,490.0,2026.0,5.0,182.0,349.0,RUB,18+,"Литрес Авторы, Любовные испытания, Остросюжетные любовные романы, Первая любовь, Романтическая эротика, Современные любовные романы, Темная академия / dark academy, Темная романтика, Только на Литрес, Эротические романы",Правообладатель: Автор,"epub,, fb2,, fb3,, ios.epub,, mobi,, pdf,, txt,, zip",https://www.litres.ru/book/dariya-esses/afrodita-73727339/,349.0,5.0,490.0,182.0
9,Девятый,Сергей Лукьяненко,978-5-17-182988-9,281.0,2025.0,4.8,2405.0,479.0,RUB,16+,"Героическая фантастика, Космическая фантастика, Космос, Попаданцы, Русская фантастика",Правообладатель: Издательство АСТ,"epub,, fb2,, fb3,, ios.epub,, mobi,, pdf,, txt,, zip",https://www.litres.ru/book/sergey-lukyanenko/devyatyy-72497368/,479.0,4.8,281.0,2405.0
10,Архив Буресвета. Книга 5. Ветер и Правда. Том 1,Брендон Сандерсон,978-5-389-32504-3,979.0,2024.0,4.9,8.0,649.0,RUB,18+,"Боевое фэнтези, Героическое фэнтези, Древние артефакты, Древние пророчества, Зарубежное фэнтези, Иные миры, Приключенческое фэнтези, Спасение мира, Эпическое фэнтези",Правообладатель: Азбука,"epub,, fb2,, fb3,, ios.epub,, mobi,, pdf,, txt,, zip",https://www.litres.ru/book/brendon-sanderson/arhiv-buresveta-kniga-5-veter-i-pravda-tom-1-73550278/,649.0,4.9,979.0,8.0
11,Операция «Приручить строптивую». Моя без шансов,Ульяна Романова,,210.0,2026.0,4.9,541.0,199.0,RUB,18+,"Женский роман, Короткие любовные романы, Литрес Авторы, Настоящие мужчины, От ненависти до любви, Романтическая комедия, Романтическая любовь, Современные любовные романы",Правообладатель: автор,"epub,, fb2,, fb3,, ios.epub,, mobi,, pdf,, txt,, zip",https://www.litres.ru/book/ulyana-romanova/operaciya-priruchit-stroptivuu-moya-bez-shansov-73482483/,199.0,4.9,210.0,541.0
12,Соучастница,Стив Кавана,978-5-04-239011-1,411.0,2022.0,4.8,455.0,439.0,RUB,18+,"Адвокатские истории, Загадочные события, Зарубежные детективы, Криминальные детективы, Национальный бестселлер, Психологические триллеры, Серийные убийцы, Современные детективы, Темные тайны, Триллеры, Юридические детективы",Правообладатель: Эксмо,"epub,, fb2,, fb3,, ios.epub,, mobi,, pdf,, txt,, zip",https://www.litres.ru/book/stiv-kavana/souchastnica-73160488/,439.0,4.8,411.0,455.0
13,Штурм Бахмута. Разведвзвод. Том I,"Александр «Писатель» Савицкий,",,830.0,2026.0,4.4,8.0,690.0,RUB,18+,"Военная история, Военное дело / спецслужбы, Военные приключения, Историческая литература, Исторические события, Книги о войне, Литрес Авторы, Реальные истории, Специальная военная операция (СВО), Только на Литрес",Правообладатель: Автор,"epub,, fb2,, fb3,, ios.epub,, mobi,, pdf,, txt,, zip",https://www.litres.ru/book/aleksandr-pisatel-savickiy/shturm-bahmuta-razvedvzvod-tom-i-73738747/,690.0,4.4,830.0,8.0
14,Господин прокурор,Катерина Траум,9785002526017,442.0,2025.0,4.8,44.0,399.0,RUB,18+,"Альтернативная история, Англия, Детективное расследование, Исторические детективы, Любовно-фантастические романы, Любовные испытания, Мафия, Остросюжетные любовные романы, Противостояние характеров, Сильная героиня",Правообладатель: Издательство CLEVER,"epub,, fb2,, fb3,, ios.epub,, mobi,, pdf,, txt,, zip",https://www.litres.ru/book/katerina-traum-30189446/gospodin-prokuror-73591903/,399.0,4.8,442.0,44.0
15,Звёздная кровь-11. Колония Альфа,Роман Прокофьев,,100.0,2026.0,4.9,389.0,229.0,RUB,16+,"Авторский мир, Боевая фантастика, Боевое фэнтези, Героическая фантастика, Литрес Авторы, Миры Стеллара, РеалРПГ, Технофэнтези, Черновик",Правообладатель: Автор,текст,https://www.litres.ru/book/roman-urevich-prokofev/zvezdnaya-krov-11-koloniya-alfa-73388488/,229.0,4.9,100.0,389.0
16,Докопаться до менталиста,Надежда Мамаева,,110.0,2026.0,4.8,62.0,169.0,RUB,16+,"Иные миры, Литрес Авторы, Любовное фэнтези, Любовные отношения, Магические академии, Некромантия, Приключенческое фэнтези, Романтическое фэнтези, Только на Литрес, Юмористическое фэнтези",Правообладатель: Автор,"epub,, fb2,, fb3,, ios.epub,, mobi,, pdf,, txt,, zip",https://www.litres.ru/book/nadezhda-mamaeva-5241551/dokopatsya-do-mentalista-73745097/,169.0,4.8,110.0,62.0
17,Другая история Золушки. Темная в академии Светлых,Анна Платунова,,330.0,2026.0,5.0,1425.0,179.0,RUB,16+,"Академия магии, Литрес Авторы, Любовное фэнтези, Магические академии, От ненависти до любви, Противостояние характеров, Путешествия во времени, Русское фэнтези, Сильная героиня",Правообладатель: Автор,"epub,, fb2,, fb3,, ios.epub,, mobi,, pdf,, txt,, zip",https://www.litres.ru/book/anna-sergeevna-platun/drugaya-istoriya-zolushki-temnaya-v-akademii-svetlyh-73111938/,179.0,5.0,330.0,1425.0
18,Двор Ледяных Сердец,Элис Нокс,,710.0,2025.0,4.7,3990.0,299.0,RUB,16+,"Young adult, Бестселлер, Дарк фэнтези / dark fantasy / темное фэнтези, Литрес Авторы, Любовно-фантастические романы, Любовное фэнтези, Магическое фэнтези, Мифологическое фэнтези, Феи",Правообладатель: Автор,"epub,, fb2,, fb3,, ios.epub,, mobi,, pdf,, txt,, zip",https://www.litres.ru/book/elis-noks/dvor-ledyanyh-serdec-72728656/,299.0,4.7,710.0,3990.0
19,Двадцать два несчастья. Книга 5,"Данияр Сугралинов,",,270.0,2026.0,5.0,59.0,199.0,RUB,18+,"Бытовые зарисовки, Здоровый образ жизни, Интриги, Литрес Авторы, Попаданцы, РеалРПГ, Социальная фантастика",Правообладатель: Автор,"epub,, fb2,, fb3,, ios.epub,, mobi,, pdf,, txt,, zip",https://www.litres.ru/book/daniyar-sugralinov/dvadcat-dva-neschastya-kniga-5-73755941/,199.0,5.0,270.0,59.0
20,Двор Опалённых Сердец,Элис Нокс,,770.0,2025.0,5.0,2273.0,299.0,RUB,16+,"Young adult, Дарк фэнтези / dark fantasy / темное фэнтези, Литрес Авторы, Любовно-фантастические романы, Любовное фэнтези, Магическое фэнтези, От ненависти до любви, Темная романтика, Феи",Правообладатель: Автор,"epub,, fb2,, fb3,, ios.epub,, mobi,, pdf,, txt,, zip",https://www.litres.ru/book/elis-noks/dvor-opalennyh-serdec-72988857/,299.0,5.0,770.0,2273.0
21,Недоброе имя,"Татьяна Устинова,",978-5-04-241627-9,220.0,2026.0,4.5,56.0,399.0,RUB,16+,"Детективное расследование, Интриги, Остросюжетные романы, Предательство, Психологические детективы, Современные детективы, Тайны и загадки",Правообладатель: Эксмо,"epub,, fb2,, fb3,, ios.epub,, mobi,, pdf,, txt,, zip",https://www.litres.ru/book/tatyana-ustinova/nedobroe-imya-73433483/,399.0,4.5,220.0,56.0
22,Птицелов,Алексей Пехов,,470.0,2025.0,4.9,673.0,299.0,RUB,16+,"Городское фэнтези, Литрес Авторы, Магические миры, Магическое фэнтези, Приключенческое фэнтези, Русское фэнтези",Правообладатель: Автор,"epub,, fb2,, fb3,, ios.epub,, mobi,, pdf,, txt,, zip",https://www.litres.ru/book/aleksey-pehov/pticelov-72816162/,299.0,4.9,470.0,673.0
23,Дракон! И-гад-же-ты!,Надежда Мамаева,,310.0,2026.0,4.8,190.0,199.0,RUB,16+,"Комедия положений, Литрес Авторы, Любовное фэнтези, Любовные авантюры, Любовные интриги, Магические академии, Романтическое фэнтези, Шпионы, Юмористическое фэнтези",Правообладатель: Автор,"epub,, fb2,, fb3,, ios.epub,, mobi,, pdf,, txt,, zip",https://www.litres.ru/book/nadezhda-mamaeva-5241551/drakon-i-gad-zhe-ty-73491788/,199.0,4.8,310.0,190.0
24,ИНКВИЗИТОР. Божьим промыслом. Книга 17. Кинжалы и векселя,Борис Конофальский,,380.0,2026.0,4.9,68.0,249.0,RUB,18+,"Войны, Героическое фэнтези, Интриги, Историческая литература, Исторические приключения, Литрес Авторы, Рыцарские романы, Сильный герой, Средневековье",Правообладатель: Автор,"epub,, fb2,, fb3,, ios.epub,, mobi,, pdf,, txt,, zip",https://www.litres.ru/book/boris-konofalskiy/inkvizitor-bozhim-promyslom-kniga-17-kinzhaly-i-vekselya-73733661/,249.0,4.9,380.0,68.0
25,Тайна мыса Пицунда,Николай Свечин,"978-5-04-229919-3, 978-5-04-229923-0",250.0,2026.0,4.6,49.0,579.0,RUB,18+,"Исторические детективы, Остросюжетная литература, Полицейские детективы, Ретродетективы, Российская империя, Секретные агенты, Шпионаж, Экспедиции",Правообладатель: Автор,"epub,, fb2,, fb3,, ios.epub,, mobi,, pdf,, txt,, zip",https://www.litres.ru/book/nikolay-svechin/tayna-mysa-picunda-73520163/,579.0,4.6,250.0,49.0
26,Свидание на краю бесконечности,Ольга Володарская,978-5-04-242320-8,250.0,2026.0,4.9,16.0,359.0,RUB,16+,"Женская остросюжетная проза, Женские детективы, Загадочные события, Исторические детективы, Остросюжетная литература, Расследование преступлений, Семейные тайны, Современные детективы, Тайны прошлого",Правообладатель: Эксмо,"epub,, fb2,, fb3,, ios.epub,, mobi,, pdf,, txt,, zip",https://www.litres.ru/book/olga-volodarskaya/svidanie-na-krau-beskonechnosti-73488063/,359.0,4.9,250.0,16.0
27,Ртуть,Калли Харт,978-5-17-173140-3,744.0,2024.0,4.5,51.0,549.0,RUB,18+,"New adult, Авторский мир, Алхимия, Бестселлеры «New York Times», Борьба за выживание, Дарк фэнтези / dark fantasy / темное фэнтези, Зарубежное фэнтези, Любовное фэнтези, Магические миры, Магические способности, Молодежное фэнтези, От ненависти до любви, Приключенческое фэнтези, Романтическое фэнтези, Слоуберн, Темная романтика, Темные тайны, Феи, Эпическое фэнтези",Правообладатель: Издательство АСТ,"epub,, fb2,, fb3,, ios.epub,, mobi,, pdf,, txt,, zip",https://www.litres.ru/book/kalli-hart-23701197/rtut-73055493/,549.0,4.5,744.0,51.0
28,Кречет. Нежданная кровь,Ерофей Трофимов,978-5-17-179263-3,321.0,2026.0,4.7,204.0,299.0,RUB,16+,"Альтернативная история, Боевая фантастика, Борьба за выживание, Историческая фантастика, Казачество, Опасные приключения, Попаданцы, Попаданцы во времени, Сверхспособности, Эпоха перемен",Правообладатель: Издательство АСТ,"epub,, fb2,, fb3,, ios.epub,, mobi,, pdf,, txt,, zip",https://www.litres.ru/book/erofey-trofimov/krechet-nezhdannaya-krov-73375403/,299.0,4.7,321.0,204.0
29,Легкий способ бросить курить,Аллен Карр,,6.0,2014.0,4.9,7552.0,589.0,RUB,16+,"Авторские методики, Борьба с вредными привычками, Борьба с курением, Зарубежная прикладная литература, Здоровье, Патологические зависимости, Психологическая консультация, Психологическая помощь, Психотехники, Работа над собой, Самопомощь, Только на Литрес",Правообладатель: Добрая книга,"m4b,, mp3,, zip",https://www.litres.ru/audiobook/allen-karr/legkiy-sposob-brosit-kurit-9535162/,589.0,4.9,6.0,7552.0
30,Игрушки лешего,Полина Луговцова,,300.0,2025.0,5.0,761.0,249.0,RUB,16+,"Детектив-загадка, Литрес Авторы, Мистика, Мистический триллер, Остросюжетные детективы, Расследование преступлений, Современные детективы, Тайны прошлого, Только на Литрес, Триллеры",Правообладатель: Автор,"epub,, fb2,, fb3,, ios.epub,, mobi,, pdf,, txt,, zip",https://www.litres.ru/book/polina-lugovcova/igrushki-leshego-72816302/,249.0,5.0,300.0,761.0
31,Черная королева,Андреас Грубер,978-5-9524-6644-9,301.0,2020.0,4.3,23.0,500.0,RUB,16+,"Зарубежные детективы, Криминальное похищение, Остросюжетные детективы, Психологические триллеры, Расследование преступлений, Расследование убийств, Серийные убийцы, Современные детективы, Триллеры, Частное расследование",Правообладатель: ООО «ГЕРМЕС БУКС»,"epub,, fb2,, fb3,, ios.epub,, mobi,, pdf,, txt,, zip",https://www.litres.ru/book/andreas-gruber/chernaya-koroleva-73545213/,500.0,4.3,301.0,23.0
32,Эридон. На весах судьбы,Савушка,,730.0,2026.0,4.9,352.0,399.0,RUB,18+,"Боевое фэнтези, Демоны, Драконы, Литрес Авторы, Любовное фэнтези, Приключенческое фэнтези, Романтическое фэнтези, Только на Литрес, Фэнтези про драконов, Эпическое фэнтези",Правообладатель: Автор,"epub,, fb2,, fb3,, ios.epub,, mobi,, pdf,, txt,, zip",https://www.litres.ru/book/savushka/eridon-na-vesah-sudby-73472716/,399.0,4.9,730.0,352.0
